OrphaCode,curie,label,descendent_OrphaCode,descendent_Name,genes_curie,genes_gene_symbol,genes_association_type,DisorderGeneAssociationStatus
845,GARD:0007737,Tay-Sachs disease,309192,"Tay-Sachs disease, B variant, adult form",HGNC:4878,HEXA,Disease-causing germline mutation(s) in,Assessed
513,GARD:0009240,Childhood acute lymphoblastic leukemia,585877,B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality,HGNC:7135,AFF1,Part of a fusion gene in,Assessed
685,GARD:0006637,Hereditary spastic paraplegia,101007,Autosomal recessive spastic paraplegia type 27,HGNC:26071,SPG27,Disease-causing germline mutation(s) in,Assessed
261,GARD:0006329,Emery-Dreifuss muscular dystrophy,98853,Autosomal dominant Emery-Dreifuss muscular dystrophy,HGNC:17084,SYNE2,Disease-causing germline mutation(s) in,Not yet assessed
98473,GARD:0007922,Muscular dystrophy,480682,POGLUT1-related  limb-girdle muscular dystrophy R21,HGNC:22954,POGLUT1,Disease-causing germline mutation(s) in,Assessed
2929,GARD:0003065,Juvenile polyposis syndrome,79076,Juvenile polyposis of infancy,HGNC:1076,BMPR1A,Role in the phenotype of,Assessed
506,GARD:0006877,Leigh syndrome,255249,Leigh syndrome with nephrotic syndrome,HGNC:25223,COQ2,Disease-causing germline mutation(s) in,Assessed
213500,GARD:0007295,Ovarian cancer,99915,Maligant granulosa cell tumor of the ovary,HGNC:17098,DICER1,Major susceptibility factor in,Assessed
156207,GARD:0003342,Macroglossia,231120,Beckwith-Wiedemann syndrome due to CDKN1C mutation,HGNC:1786,CDKN1C,Disease-causing germline mutation(s) (loss of function) in,Assessed
519,GARD:0012757,Acute myeloid leukemia ,402026,Acute myeloid leukemia with NPM1 somatic mutations,HGNC:7910,NPM1,Disease-causing somatic mutation(s) in,Assessed
166,GARD:0006034,Charcot-Marie-Tooth disease,488333,Autosomal dominant Charcot-Marie-Tooth disease type 2W,HGNC:4816,HARS1,Disease-causing germline mutation(s) (loss of function) in,Assessed
577,GARD:0003806,Mucolipidosis III alpha/beta,423461,Mucolipidosis type III alpha/beta,HGNC:29670,GNPTAB,Disease-causing germline mutation(s) (loss of function) in,Assessed
98473,GARD:0007922,Muscular dystrophy,370968,Congenital muscular dystrophy with intellectual disability,HGNC:6511,LARGE1,Disease-causing germline mutation(s) in,Assessed
442,GARD:0001487,Congenital hypothyroidism,226307,Hypothyroidism due to deficient transcription factors involved in pituitary development or function,HGNC:9210,POU1F1,Disease-causing germline mutation(s) in,Assessed
685,GARD:0006637,Hereditary spastic paraplegia,477673,Postnatal microcephaly-infantile hypotonia-spastic diplegia-dysarthria-intellectual disability syndrome,HGNC:18062,GPT2,Disease-causing germline mutation(s) in,Assessed
238468,GARD:0000076,Hypohidrotic ectodermal dysplasia,1810,Autosomal dominant hypohidrotic ectodermal dysplasia,HGNC:2895,EDAR,Disease-causing germline mutation(s) in,Assessed
79373,GARD:0006317,Ectodermal dysplasia,1997,Blepharo-cheilo-odontic syndrome,HGNC:2515,CTNND1,Disease-causing germline mutation(s) (loss of function) in,Assessed
65283,GARD:0009294,Timothy syndrome,595098,Timothy syndrome type 1,HGNC:1390,CACNA1C,Disease-causing germline mutation(s) in,Assessed
309279,GARD:0010670,Glycoproteinosis,309282,"Alpha-mannosidosis, infantile form",HGNC:6826,MAN2B1,Disease-causing germline mutation(s) in,Assessed
506,GARD:0006877,Leigh syndrome,255241,Leigh syndrome with leukodystrophy,HGNC:7707,NDUFS1,Disease-causing germline mutation(s) in,Assessed
63454,GARD:0009821,Pattern dystrophy,99001,Butterfly-shaped pigment dystrophy,HGNC:2509,CTNNA1,Disease-causing germline mutation(s) in,Assessed
2162,GARD:0006665,Holoprosencephaly,220386,Semilobar holoprosencephaly,HGNC:12873,ZIC2,Disease-causing germline mutation(s) in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,436174,Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome,HGNC:29685,IARS2,Disease-causing germline mutation(s) (loss of function) in,Assessed
442,GARD:0001487,Congenital hypothyroidism,95713,Athyreosis,HGNC:12373,TSHR,Disease-causing germline mutation(s) (loss of function) in,Assessed
739,GARD:0005575,Prader-Willi syndrome,177901,Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1,HGNC:7675,NDN,Role in the phenotype of,Assessed
2162,GARD:0006665,Holoprosencephaly,93925,Alobar holoprosencephaly,HGNC:10889,SIX3,Disease-causing germline mutation(s) in,Assessed
171901,GARD:0006226,Cutaneous T-cell lymphoma,300865,Primary cutaneous anaplastic large cell lymphoma,HGNC:7910,NPM1,Part of a fusion gene in,Assessed
3394,GARD:0004898,Soft tissue sarcoma,231108,Familial rhabdoid tumor,HGNC:11100,SMARCA4,Disease-causing germline mutation(s) in,Assessed
631,GARD:0012556,Isolated growth hormone deficiency,632,Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia,HGNC:3319,ELF4,Disease-causing germline mutation(s) in,Assessed
264665,GARD:0010559,Children's interstitial lung disease,70587,Infant acute respiratory distress syndrome,HGNC:10801,SFTPB,Major susceptibility factor in,Assessed
253,GARD:0007687,Spondyloepiphyseal dysplasia,250984,Autosomal recessive Stickler syndrome,HGNC:2218,COL9A2,Disease-causing germline mutation(s) (loss of function) in,Assessed
636,GARD:0007866,Neurofibromatosis type 1,363700,Neurofibromatosis type 1 due to NF1 mutation or intragenic deletion,HGNC:7765,NF1,Disease-causing germline mutation(s) (loss of function) in,Assessed
137,GARD:0010307,Congenital disorders of glycosylation,353327,Congenital myasthenic syndromes with glycosylation defect,HGNC:4241,GFPT1,Disease-causing germline mutation(s) in,Assessed
2875,GARD:0004312,Phacomatosis pigmentovascularis,79484,Phakomatosis cesiomarmorata,HGNC:4379,GNA11,Disease-causing somatic mutation(s) in,Assessed
98292,GARD:0006987,Mastocytosis,98850,Aggressive systemic mastocytosis,HGNC:10471,RUNX1,Disease-causing somatic mutation(s) in,Assessed
657,GARD:0003947,Congenital hyperinsulinism,276598,Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency,HGNC:59,ABCC8,Disease-causing germline mutation(s) in,Assessed
53739,GARD:0012683,Distal hereditary motor neuropathy,139557,X-linked distal spinal muscular atrophy type 3,HGNC:869,ATP7A,Disease-causing germline mutation(s) in,Assessed
209,GARD:0006227,Cutis laxa,314718,Lethal arteriopathy syndrome due to fibulin-4 deficiency,HGNC:3219,EFEMP2,Disease-causing germline mutation(s) in,Assessed
52,GARD:0000804,Alagille syndrome,261600,Alagille syndrome due to 20p12 microdeletion,HGNC:6188,JAG1,Role in the phenotype of,Assessed
513,GARD:0000522,Acute lymphoblastic leukemia,585877,B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality,HGNC:7135,AFF1,Part of a fusion gene in,Assessed
2442,GARD:0010915,X-linked lymphoproliferative syndrome,538931,X-linked lymphoproliferative disease due to SH2D1A deficiency,HGNC:10820,SH2D1A,Disease-causing germline mutation(s) in,Assessed
593,GARD:0010529,Myofibrillar myopathy,399058,Alpha-B crystallin-related late-onset myopathy,HGNC:2389,CRYAB,Disease-causing germline mutation(s) in,Assessed
93969,GARD:0003475,Myelomeningocele,268752,Thoracolumbosacral spina bifida cystica,HGNC:15512,VANGL1,Major susceptibility factor in,Assessed
98757,GARD:0006801,Spinocerebellar ataxia 3,276238,Machado-Joseph disease type 1,HGNC:7106,ATXN3,Disease-causing germline mutation(s) in,Assessed
444116,GARD:0006611,Hereditary amyloidosis,93560,AApoAI amyloidosis,HGNC:600,APOA1,Disease-causing germline mutation(s) in,Assessed
799,GARD:0000166,Schizencephaly,485275,Acquired schizencephaly,HGNC:3341,EMX2,Major susceptibility factor in,Assessed
580,GARD:0006675,Mucopolysaccharidosis type II,217093,"Mucopolysaccharidosis type 2, attenuated form",HGNC:5389,IDS,Disease-causing germline mutation(s) in,Assessed
217071,GARD:0008417,Renal cell carcinoma 4,404511,Clear cell papillary renal cell carcinoma,HGNC:30064,PBRM1,Major susceptibility factor in,Assessed
98277,GARD:0012758,Acute myeloid leukemia with recurrent genetic anomaly,102724,Acute myeloid leukemia with t(8;21)(q22;q22) translocation,HGNC:10471,RUNX1,Part of a fusion gene in,Assessed
213500,GARD:0007295,Ovarian cancer,370396,Small cell carcinoma of the ovary,HGNC:11100,SMARCA4,Disease-causing germline mutation(s) in,Assessed
2162,GARD:0006665,Holoprosencephaly,93924,Lobar holoprosencephaly,HGNC:12873,ZIC2,Disease-causing germline mutation(s) in,Assessed
98878,GARD:0006591,Hemophilia A,177926,Bleeding disorder in hemophilia A carriers,HGNC:3546,F8,Disease-causing germline mutation(s) in,Assessed
748,GARD:0012977,Mendelian susceptibility to mycobacterial diseases,319581,Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency,HGNC:5439,IFNGR1,Disease-causing germline mutation(s) in,Assessed
182058,GARD:0012959,Primary orthostatic hypotension,2828,Young-onset Parkinson disease,HGNC:16369,PARK7,Disease-causing germline mutation(s) in,Assessed
94075,GARD:0008689,Autoimmune enteropathy,397959,TCR-alpha-beta-positive T-cell deficiency,HGNC:12029,TRAC,Disease-causing germline mutation(s) in,Assessed
2162,GARD:0006665,Holoprosencephaly,93924,Lobar holoprosencephaly,HGNC:10879,STIL,Disease-causing germline mutation(s) in,Assessed
513,GARD:0009240,Childhood acute lymphoblastic leukemia,585877,B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality,HGNC:8619,PAX5,Part of a fusion gene in,Assessed
34526,GARD:0002906,Familial primary hypomagnesemia,31043,Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis without severe ocular involvement,HGNC:2037,CLDN16,Disease-causing germline mutation(s) (loss of function) in,Assessed
64746,GARD:0012431,Charcot-Marie-Tooth disease type 2,466768,Autosomal dominant Charcot-Marie-Tooth disease type 2Z,HGNC:23573,MORC2,Disease-causing germline mutation(s) in,Assessed
94075,GARD:0008689,Autoimmune enteropathy,220465,Laron syndrome with immunodeficiency,HGNC:11367,STAT5B,Disease-causing germline mutation(s) in,Assessed
261,GARD:0006329,Emery-Dreifuss muscular dystrophy,98855,Autosomal recessive Emery-Dreifuss muscular dystrophy,HGNC:6636,LMNA,Disease-causing germline mutation(s) in,Assessed
595,GARD:0000101,Centronuclear myopathy,319160,Congenital myopathy with internal nuclei and atypical cores,HGNC:14153,CCDC78,Disease-causing germline mutation(s) in,Assessed
399786,GARD:0012513,Male infertility with spermatogenesis disorder due to single gene mutation ,529970,Male infertility due to acephalic spermatozoa,HGNC:17728,PMFBP1,Disease-causing germline mutation(s) in,Assessed
94075,GARD:0008689,Autoimmune enteropathy,438159,STAT3-related early-onset multisystem autoimmune disease,HGNC:11364,STAT3,Disease-causing germline mutation(s) (gain of function) in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,255241,Leigh syndrome with leukodystrophy,HGNC:3151,ECHS1,Disease-causing germline mutation(s) in,Assessed
442,GARD:0001487,Congenital hypothyroidism,226316,Genetic transient congenital hypothyroidism,HGNC:13273,DUOX2,Disease-causing germline mutation(s) (loss of function) in,Assessed
280270,GARD:0012300,Pelizaeus-Merzbacher-like disease,280288,Pelizaeus-Merzbacher-like disease due to HSPD1 mutation,HGNC:5261,HSPD1,Disease-causing germline mutation(s) in,Assessed
261,GARD:0006329,Emery-Dreifuss muscular dystrophy,98853,Autosomal dominant Emery-Dreifuss muscular dystrophy,HGNC:6636,LMNA,Disease-causing germline mutation(s) in,Assessed
79225,GARD:0007672,Sphingolipidosis,309271,"Metachromatic leukodystrophy, adult form",HGNC:9498,PSAP,Disease-causing germline mutation(s) in,Assessed
513,GARD:0009240,Childhood acute lymphoblastic leukemia,585877,B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality,HGNC:10471,RUNX1,Part of a fusion gene in,Assessed
90794,GARD:0012665,Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency,315311,"Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, simple virilizing form",HGNC:2600,CYP21A2,Disease-causing germline mutation(s) in,Assessed
1037,GARD:0000777,Arthrogryposis multiplex congenita,439897,Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome,HGNC:19181,KIF14,Disease-causing germline mutation(s) (loss of function) in,Assessed
66646,GARD:0007842,Cutaneous mastocytosis,158772,Nodular urticaria pigmentosa,HGNC:6342,KIT,Disease-causing germline mutation(s) in,Assessed
506,GARD:0006877,Leigh syndrome,255241,Leigh syndrome with leukodystrophy,HGNC:7710,NDUFS3,Disease-causing germline mutation(s) in,Assessed
513,GARD:0009240,Childhood acute lymphoblastic leukemia,99861,Precursor T-cell acute lymphoblastic leukemia,HGNC:12027,TRA,Part of a fusion gene in,Assessed
79430,GARD:0006643,Hermansky-Pudlak syndrome,231531,Hermansky-Pudlak syndrome due to BLOC-1 deficiency,HGNC:18561,BLOC1S5,Disease-causing germline mutation(s) in,Assessed
101330,GARD:0007433,Porphyria cutanea tarda,443057,Sporadic porphyria cutanea tarda,HGNC:4886,HFE,Major susceptibility factor in,Assessed
93969,GARD:0003475,Myelomeningocele,268766,Cervicothoracic spina bifida cystica,HGNC:7436,MTHFR,Major susceptibility factor in,Assessed
137,GARD:0010307,Congenital disorders of glycosylation,247262,Hyperphosphatasia-intellectual disability syndrome,HGNC:26031,PIGV,Disease-causing germline mutation(s) in,Assessed
79238,GARD:0005392,Galactose epimerase deficiency,308473,Erythrocyte galactose epimerase deficiency,HGNC:4116,GALE,Disease-causing germline mutation(s) in,Assessed
443909,GARD:0008533,Familial colorectal cancer,144,Lynch syndrome,HGNC:9122,PMS2,Disease-causing germline mutation(s) in,Assessed
2909,GARD:0004392,Rothmund-Thomson syndrome,221016,Rothmund-Thomson syndrome type 2,HGNC:9949,RECQL4,Disease-causing germline mutation(s) in,Assessed
511,GARD:0003228,Maple syrup urine disease,268184,Thiamine-responsive maple syrup urine disease,HGNC:987,BCKDHB,Disease-causing germline mutation(s) (loss of function) in,Assessed
68356,GARD:0006895,Leukodystrophy,447893,Hypomyelination-cerebellar atrophy-hypoplasia of the corpus callosum syndrome,HGNC:30074,POLR3A,Disease-causing germline mutation(s) in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,309256,"Metachromatic leukodystrophy, late infantile form",HGNC:9498,PSAP,Disease-causing germline mutation(s) in,Assessed
1531,GARD:0006209,Craniosynostosis,93258,Pfeiffer syndrome type 1,HGNC:3689,FGFR2,Disease-causing germline mutation(s) (gain of function) in,Assessed
360,GARD:0002491,Glioblastoma,251579,Giant cell glioblastoma,HGNC:11522,TACC1,Part of a fusion gene in,Assessed
877,GARD:0009316,Carcinoid tumor,100093,Carcinoid syndrome,HGNC:10683,SDHD,Candidate gene tested in,Not yet assessed
3394,GARD:0004898,Soft tissue sarcoma,99970,Dedifferentiated liposarcoma,HGNC:1773,CDK4,Role in the phenotype of,Assessed
487,GARD:0006844,Krabbe disease,206436,Infantile Krabbe disease,HGNC:9498,PSAP,Disease-causing germline mutation(s) in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,35664,ALDH18A1-related De Barsy syndrome,HGNC:9722,ALDH18A1,Disease-causing germline mutation(s) in,Assessed
97242,GARD:0009138,Congenital muscular dystrophy,370968,Congenital muscular dystrophy with intellectual disability,HGNC:17997,FKRP,Disease-causing germline mutation(s) in,Assessed
261494,GARD:0008672,Kleefstra syndrome,96147,Kleefstra syndrome due to 9q34 microdeletion,HGNC:24650,EHMT1,Role in the phenotype of,Assessed
2152,GARD:0009673,Mowat-Wilson syndrome,261552,Mowat-Wilson syndrome due to a ZEB2 point mutation,HGNC:14881,ZEB2,Disease-causing germline mutation(s) in,Assessed
26791,GARD:0006523,Glutaric acidemia type II,394532,"Multiple acyl-CoA dehydrogenase deficiency, mild type",HGNC:3482,ETFB,Disease-causing germline mutation(s) in,Assessed
506,GARD:0006877,Leigh syndrome,255241,Leigh syndrome with leukodystrophy,HGNC:8806,PDHA1,Disease-causing germline mutation(s) in,Assessed
813,GARD:0004870,Russell-Silver syndrome,397590,Silver-Russell syndrome due to a point mutation,HGNC:1786,CDKN1C,Disease-causing germline mutation(s) (gain of function) in,Assessed
848,GARD:0000871,Beta-thalassemia,231214,Beta-thalassemia major,HGNC:4827,HBB,Disease-causing germline mutation(s) in,Assessed
97242,GARD:0009138,Congenital muscular dystrophy,319332,Autosomal recessive myogenic arthrogryposis multiplex congenita,HGNC:17089,SYNE1,Disease-causing germline mutation(s) in,Assessed
748,GARD:0012977,Mendelian susceptibility to mycobacterial diseases,99898,Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR1 deficiency,HGNC:5439,IFNGR1,Disease-causing germline mutation(s) in,Assessed
823,GARD:0007673,Spina bifida,268762,Cervical spina bifida cystica,HGNC:7436,MTHFR,Major susceptibility factor in,Assessed
79262,GARD:0010973,Adult neuronal ceroid lipofuscinosis,314629,CLN11 disease,HGNC:4601,GRN,Disease-causing germline mutation(s) in,Assessed
97245,GARD:0005898,Myopathy congenital,319160,Congenital myopathy with internal nuclei and atypical cores,HGNC:14153,CCDC78,Disease-causing germline mutation(s) in,Assessed
263,GARD:0006907,Limb-girdle muscular dystrophy,424261,TOR1AIP1-related limb-girdle muscular dystrophy,HGNC:29456,TOR1AIP1,Disease-causing germline mutation(s) (loss of function) in,Assessed
85110,GARD:0010037,Familial encephalopathy with neuroserpin inclusion bodies,530303,Progressive dementia with neuroserpin inclusion bodies,HGNC:8943,SERPINI1,Disease-causing germline mutation(s) in,Assessed
79373,GARD:0006317,Ectodermal dysplasia,447961,Pigmentation defects-palmoplantar keratoderma-skin carcinoma syndrome,HGNC:19182,SASH1,Disease-causing germline mutation(s) in,Assessed
247,GARD:0005847,Arrhythmogenic right ventricular cardiomyopathy,293888,"Familial isolated arrhythmogenic ventricular dysplasia, left dominant form",HGNC:11769,TGFB3,Disease-causing germline mutation(s) in,Assessed
52,GARD:0000804,Alagille syndrome,261619,Alagille syndrome due to a JAG1 point mutation,HGNC:6188,JAG1,Disease-causing germline mutation(s) in,Assessed
252057,GARD:0012697,Tumor of cranial and spinal nerves,252212,Malignant triton tumor,HGNC:9476,HTRA1,Part of a fusion gene in,Assessed
182067,GARD:0006513,Glioma,251601,Fibrillary astrocytoma,HGNC:5383,IDH2,Biomarker tested in,Assessed
304,GARD:0010752,Epidermolysis bullosa simplex,158681,Epidermolysis bullosa simplex with circinate migratory erythema,HGNC:6442,KRT5,Disease-causing germline mutation(s) in,Assessed
513,GARD:0000522,Acute lymphoblastic leukemia,585877,B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality,HGNC:11633,TCF3,Part of a fusion gene in,Assessed
137807,GARD:0000132,Primary cutaneous amyloidosis,319635,Amyloidosis cutis dyschromia,HGNC:4462,GPNMB,Disease-causing germline mutation(s) (loss of function) in,Assessed
93548,GARD:0012736,Glomerular disease,93560,AApoAI amyloidosis,HGNC:600,APOA1,Disease-causing germline mutation(s) in,Assessed
411709,GARD:0009228,Renal agenesis,93100,"Renal agenesis, unilateral",HGNC:31042,GREB1L,Disease-causing germline mutation(s) (loss of function) in,Assessed
360,GARD:0002491,Glioblastoma,251579,Giant cell glioblastoma,HGNC:9236,PPARG,Biomarker tested in,Assessed
448,GARD:0010418,Hemophilia,169808,Mild hemophilia A,HGNC:3546,F8,Disease-causing germline mutation(s) in,Assessed
68356,GARD:0006895,Leukodystrophy,447896,Tremor-ataxia-central hypomyelination syndrome,HGNC:30074,POLR3A,Disease-causing germline mutation(s) in,Assessed
26791,GARD:0006523,Glutaric acidemia type II,394532,"Multiple acyl-CoA dehydrogenase deficiency, mild type",HGNC:24671,FLAD1,Disease-causing germline mutation(s) (loss of function) in,Assessed
513,GARD:0000522,Acute lymphoblastic leukemia,99860,Precursor B-cell acute lymphoblastic leukemia,HGNC:2621,CYP2C19,Candidate gene tested in,Not yet assessed
253,GARD:0007687,Spondyloepiphyseal dysplasia,496751,EVEN-plus syndrome,HGNC:5244,HSPA9,Disease-causing germline mutation(s) in,Assessed
1531,GARD:0006209,Craniosynostosis,63440,Isolated oxycephaly,HGNC:12872,ZIC1,Disease-causing germline mutation(s) (gain of function) in,Assessed
319276,GARD:0009574,Clear cell renal cell carcinoma,404511,Clear cell papillary renal cell carcinoma,HGNC:30064,PBRM1,Major susceptibility factor in,Assessed
112,GARD:0005893,Bartter syndrome,93604,Antenatal Bartter syndrome,HGNC:6255,KCNJ1,Disease-causing germline mutation(s) (loss of function) in,Assessed
513,GARD:0009240,Childhood acute lymphoblastic leukemia,99861,Precursor T-cell acute lymphoblastic leukemia,HGNC:8064,NUP214,Part of a fusion gene in,Assessed
2875,GARD:0004312,Phacomatosis pigmentovascularis,79483,Phakomatosis cesioflammea,HGNC:4390,GNAQ,Disease-causing somatic mutation(s) in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,485418,EMILIN-1-related connective tissue disease,HGNC:19880,EMILIN1,Disease-causing germline mutation(s) in,Assessed
26791,GARD:0006523,Glutaric acidemia type II,394532,"Multiple acyl-CoA dehydrogenase deficiency, mild type",HGNC:3481,ETFA,Disease-causing germline mutation(s) in,Assessed
657,GARD:0003947,Congenital hyperinsulinism,276603,Diazoxide-resistant focal hyperinsulinism due to Kir6.2 deficiency,HGNC:6257,KCNJ11,Disease-causing germline mutation(s) in,Assessed
98292,GARD:0006987,Mastocytosis,158775,Smoldering systemic mastocytosis,HGNC:6342,KIT,Disease-causing somatic mutation(s) in,Assessed
2162,GARD:0006665,Holoprosencephaly,220386,Semilobar holoprosencephaly,HGNC:10879,STIL,Disease-causing germline mutation(s) in,Assessed
97229,GARD:0009993,Riboflavin transporter deficiency,572550,RFVT3-related riboflavin transporter deficiency,HGNC:16187,SLC52A3,Disease-causing germline mutation(s) in,Assessed
511,GARD:0003228,Maple syrup urine disease,268162,Intermediate maple syrup urine disease,HGNC:25415,PPM1K,Disease-causing germline mutation(s) in,Assessed
655,GARD:0000206,Nephronophthisis,93592,Juvenile nephronophthisis,HGNC:29536,MAPKBP1,Disease-causing germline mutation(s) (loss of function) in,Assessed
68356,GARD:0006895,Leukodystrophy,309271,"Metachromatic leukodystrophy, adult form",HGNC:9498,PSAP,Disease-causing germline mutation(s) in,Assessed
1531,GARD:0006209,Craniosynostosis,35099,Isolated brachycephaly,HGNC:12428,TWIST1,Disease-causing germline mutation(s) in,Assessed
1531,GARD:0006209,Craniosynostosis,168624,"Familial scaphocephaly syndrome, McGillivray type",HGNC:3689,FGFR2,Disease-causing germline mutation(s) in,Assessed
35656,GARD:0010423,Coenzyme Q10 deficiency,280406,Familial steroid-resistant nephrotic syndrome with sensorineural deafness,HGNC:20233,COQ6,Disease-causing germline mutation(s) in,Assessed
182067,GARD:0006513,Glioma,251579,Giant cell glioblastoma,HGNC:7059,MGMT,Biomarker tested in,Assessed
88661,GARD:0005791,Amelogenesis imperfecta,100032,Hypocalcified amelogenesis imperfecta,HGNC:6161,ITGB6,Disease-causing germline mutation(s) in,Assessed
3394,GARD:0004898,Soft tissue sarcoma,370334,Extraskeletal Ewing sarcoma,HGNC:3446,ERG,Part of a fusion gene in,Assessed
91378,GARD:0005979,Hereditary angioedema,599418,Hereditary angioedema with normal C1Inh not related to F12 or PLG variant,HGNC:6383,KNG1,Disease-causing germline mutation(s) in,Assessed
685,GARD:0006637,Hereditary spastic paraplegia,171629,Autosomal recessive spastic paraplegia type 35,HGNC:21197,FA2H,Disease-causing germline mutation(s) in,Assessed
823,GARD:0007673,Spina bifida,268770,Upper thoracic spina bifida cystica,HGNC:11515,TBXT,Major susceptibility factor in,Assessed
247,GARD:0005847,Arrhythmogenic right ventricular cardiomyopathy,293910,"Familial isolated arrhythmogenic ventricular dysplasia, right dominant form",HGNC:3049,DSG2,Disease-causing germline mutation(s) in,Assessed
207015,GARD:0012733,Rare hereditary disease with peripheral neuropathy,309185,"Tay-Sachs disease, B variant, juvenile form",HGNC:4878,HEXA,Disease-causing germline mutation(s) in,Assessed
64746,GARD:0012431,Charcot-Marie-Tooth disease type 2,521414,Autosomal dominant Charcot-Marie-Tooth disease type 2DD,HGNC:799,ATP1A1,Disease-causing germline mutation(s) in,Assessed
360,GARD:0002491,Glioblastoma,251579,Giant cell glioblastoma,HGNC:33280,SEPTIN14,Part of a fusion gene in,Assessed
238468,GARD:0000076,Hypohidrotic ectodermal dysplasia,1810,Autosomal dominant hypohidrotic ectodermal dysplasia,HGNC:26624,KDF1,Disease-causing germline mutation(s) in,Assessed
79430,GARD:0006643,Hermansky-Pudlak syndrome,231512,Hermansky-Pudlak syndrome due to BLOC-2 deficiency,HGNC:17022,HPS5,Disease-causing germline mutation(s) in,Assessed
2162,GARD:0006665,Holoprosencephaly,93926,Midline interhemispheric variant of holoprosencephaly,HGNC:19711,DISP1,Disease-causing germline mutation(s) in,Assessed
738,GARD:0010353,Porphyria,100924,Porphyria due to ALA dehydratase deficiency,HGNC:395,ALAD,Disease-causing germline mutation(s) in,Assessed
99732,GARD:0003705,Molybdenum cofactor deficiency,308386,Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A,HGNC:7190,MOCS1,Disease-causing germline mutation(s) (loss of function) in,Assessed
79225,GARD:0007672,Sphingolipidosis,216975,"Niemann-Pick disease type C, severe early infantile neurologic onset",HGNC:14537,NPC2,Disease-causing germline mutation(s) in,Assessed
253,GARD:0007687,Spondyloepiphyseal dysplasia,83629,Leukoencephalopathy-spondyloepimetaphyseal dysplasia syndrome,HGNC:8768,AIFM1,Disease-causing germline mutation(s) in,Assessed
98473,GARD:0007922,Muscular dystrophy,370959,Congenital muscular dystrophy with cerebellar involvement,HGNC:19139,POMGNT1,Disease-causing germline mutation(s) in,Assessed
93293,GARD:0009182,Duane-radial ray syndrome,261647,Okihiro syndrome due to a point mutation,HGNC:15924,SALL4,Disease-causing germline mutation(s) in,Assessed
331223,GARD:0010956,Hyper IgE syndrome,369992,Severe dermatitis-multiple allergies-metabolic wasting syndrome,HGNC:3052,DSP,Disease-causing germline mutation(s) in,Assessed
217071,GARD:0008417,Renal cell carcinoma 4,319308,MiT family translocation renal cell carcinoma,HGNC:13825,ASPSCR1,Part of a fusion gene in,Assessed
137,GARD:0010307,Congenital disorders of glycosylation,480682,POGLUT1-related  limb-girdle muscular dystrophy R21,HGNC:22954,POGLUT1,Disease-causing germline mutation(s) in,Assessed
116,GARD:0003343,Beckwith-Wiedemann syndrome,231127,Beckwith-Wiedemann syndrome due to 11p15 microdeletion,HGNC:4713,H19,Role in the phenotype of,Assessed
166,GARD:0006034,Charcot-Marie-Tooth disease,538574,Palmoplantar keratoderma-hereditary motor and sensory neuropathy syndrome,HGNC:7225,MPZ,Modifying germline mutation in,Assessed
182067,GARD:0006513,Glioma,251671,Angiocentric glioma,HGNC:21100,QKI,Part of a fusion gene in,Assessed
513,GARD:0009240,Childhood acute lymphoblastic leukemia,99860,Precursor B-cell acute lymphoblastic leukemia,HGNC:25547,CEP72,Candidate gene tested in,Not yet assessed
513,GARD:0000522,Acute lymphoblastic leukemia,585877,B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality,HGNC:1014,BCR,Part of a fusion gene in,Assessed
783,GARD:0007593,Rubinstein-Taybi syndrome,353277,Rubinstein-Taybi syndrome due to CREBBP mutations,HGNC:2348,CREBBP,Disease-causing germline mutation(s) in,Assessed
135,GARD:0000231,Leukoencephalopathy with vanishing white matter,99854,Cree leukoencephalopathy,HGNC:3260,EIF2B4,Disease-causing germline mutation(s) in,Assessed
217071,GARD:0008417,Renal cell carcinoma 4,319298,Papillary renal cell carcinoma,HGNC:7105,MITF,Major susceptibility factor in,Assessed
