@id,OrphaCode,curie,label,genes_Id,genes_curie,genes_source_curie,genes_source_label,genes_gene_symbol,genes_association_type,genes_source_validation,genes_gene_sfdc_id
2584,2850,GARD:0000612,Alopecia-intellectual disability syndrome,a0ht000000AYdo7AAD,HGNC:349,ORPHA:2850,,AHSG,Disease-causing germline mutation(s) in,Assessed,
19664,251630,GARD:0009472,Anaplastic oligodendroglioma,a0ht000000AYfBeAAL,HGNC:17284,ORPHA:251630,,POT1,Major susceptibility factor in,Assessed,
63,550,GARD:0007009,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes,a0ht000000AYgZMAA1,HGNC:7419,ORPHA:550,,MT-CO1,Disease-causing germline mutation(s) in,Assessed,
22339,363686,GARD:0012815,GATAD2B-associated neurodevelopmental disorder,a0ht000000AYfgFAAT,HGNC:30778,ORPHA:363686,,GATAD2B,Disease-causing germline mutation(s) (loss of function) in,Assessed,
1738,1606,GARD:0006082,Chromosome 1p36 deletion syndrome,,HGNC:5273,ORPHA:1606,,HSPG2,Role in the phenotype of,Assessed,
11721,85448,GARD:0002339,"Familial amyloidosis, Finnish type",a0ht000000AYeCdAAL,HGNC:4620,ORPHA:85448,,GSN,Disease-causing germline mutation(s) in,Assessed,
1599,1393,GARD:0006026,Cerebro-costo-mandibular syndrome,a0ht000000AYeh1AAD,HGNC:11153,ORPHA:1393,,SNRPB,Disease-causing germline mutation(s) in,Assessed,
12138,91387,GARD:0002249,Familial thoracic aortic aneurysm and aortic dissection,a0ht000000AYeBnAAL,HGNC:11768,ORPHA:91387,,TGFB2,Disease-causing germline mutation(s) in,Assessed,
20458,280356,GARD:0012601,Familial partial lipodystrophy associated with PLIN1 mutations,a0ht000000AYfU8AAL,HGNC:9076,ORPHA:280356,,PLIN1,Disease-causing germline mutation(s) in,Assessed,
17833,169186,GARD:0012718,Autosomal recessive centronuclear myopathy,a0ht000000AYffQAAT,HGNC:1052,ORPHA:169186,,BIN1,Disease-causing germline mutation(s) (loss of function) in,Assessed,
18374,189427,GARD:0010824,ACTH-independent macronodular adrenal hyperplasia,a0ht000000AYfC5AAL,HGNC:25781,ORPHA:189427,,ARMC5,Disease-causing germline mutation(s) in,Assessed,
63,550,GARD:0007009,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes,a0ht000000AYeqhAAD,HGNC:7501,ORPHA:550,,MT-TW,Disease-causing germline mutation(s) in,Assessed,
236,774,GARD:0009902,Hereditary hemorrhagic telangiectasia type 3,,HGNC:6770,ORPHA:774,,SMAD4,Disease-causing germline mutation(s) in,Assessed,
236,774,GARD:0010615,Hereditary hemorrhagic telangiectasia type 4,,HGNC:3349,ORPHA:774,,ENG,Disease-causing germline mutation(s) in,Assessed,
784,3002,GARD:0006768,Immune thrombocytopenia,a0ht000000AYeZ3AAL,HGNC:15626,ORPHA:3002,,FCGR2C,Candidate gene tested in,Not yet assessed,
14604,100031,GARD:0000645,Amelogenesis imperfecta local hypoplastic,,HGNC:13764,ORPHA:100031,,RELT,Disease-causing germline mutation(s) (loss of function) in,Assessed,
631,1020,GARD:0000632,Familial Alzheimer disease,a0ht000000AYffyAAD,HGNC:17761,ORPHA:1020,,TREM2,Candidate gene tested in,Not yet assessed,
3298,832,GARD:0004774,SCOT deficiency,a0ht000000AYeVqAAL,HGNC:8527,ORPHA:832,,OXCT1,Disease-causing germline mutation(s) in,Assessed,
18905,220393,GARD:0009751,Diffuse cutaneous systemic sclerosis,a0ht000000AYgafAAD,HGNC:2500,ORPHA:220393,,CCN2,Major susceptibility factor in,Not yet assessed,
703,117,GARD:0000848,Beh̤et disease,a0ht000000AYdzUAAT,HGNC:1323,ORPHA:117,,C4A,Major susceptibility factor in,Assessed,
1044,242,GARD:0005068,Swyer syndrome,a0ht000000AYeYQAA1,HGNC:11311,ORPHA:242,,SRY,Disease-causing germline mutation(s) (loss of function) in,Assessed,
11809,88628,GARD:0009898,Posterior column ataxia with retinitis pigmentosa,a0ht000000AYf1eAAD,HGNC:24682,ORPHA:88628,,FLVCR1,Disease-causing germline mutation(s) in,Assessed,
647,388,GARD:0006660,Hirschsprung disease,,HGNC:61,ORPHA:388,,ABCD1,Disease-causing germline mutation(s) in,Assessed,
647,388,GARD:0006660,Hirschsprung disease,a0ht000000AYemsAAD,HGNC:8007,ORPHA:388,,NRTN,Major susceptibility factor in,Assessed,
2387,2590,GARD:0003875,Spinal muscular atrophy-progressive myoclonic epilepsy syndrome,a0ht000000AYeHFAA1,HGNC:735,ORPHA:2590,,ASAH1,Disease-causing germline mutation(s) in,Assessed,
19809,255210,GARD:0003671,Mitochondrial DNA-associated Leigh syndrome,a0ht000000AYgWrAAL,HGNC:7456,ORPHA:255210,,MT-ND2,Disease-causing germline mutation(s) in,Assessed,
8653,735,GARD:0004438,Porokeratosis of Mibelli,a0ht000000AYeSIAA1,HGNC:7530,ORPHA:735,,MVK,Disease-causing germline mutation(s) in,Assessed,
343,1727,GARD:0010557,22q11.2 duplication syndrome,a0ht000000AYf4VAAT,HGNC:11592,ORPHA:1727,,TBX1,Role in the phenotype of,Assessed,
21687,319651,GARD:0011000,Megaloblastic anemia due to dihydrofolate reductase deficiency,a0ht000000AYf2bAAD,HGNC:2861,ORPHA:319651,,DHFR,Disease-causing germline mutation(s) in,Assessed,
2813,3144,GARD:0000169,Schneckenbecken dysplasia,a0ht000000AYdpsAAD,HGNC:20800,ORPHA:3144,,SLC35D1,Disease-causing germline mutation(s) (loss of function) in,Assessed,
17608,166063,GARD:0000343,Pontocerebellar hypoplasia type 4,a0ht000000AYdsyAAD,HGNC:27561,ORPHA:166063,,TSEN54,Disease-causing germline mutation(s) in,Assessed,
11430,79404,GARD:0002153,"Junctional epidermolysis bullosa, Herlitz type",a0ht000000AYdyeAAD,HGNC:6493,ORPHA:79404,,LAMC2,Disease-causing germline mutation(s) in,Assessed,
19809,255210,GARD:0003671,Mitochondrial DNA-associated Leigh syndrome,a0ht000000AYgWvAAL,HGNC:7462,ORPHA:255210,,MT-ND6,Disease-causing germline mutation(s) in,Assessed,
14794,101083,GARD:0001247,Charcot-Marie-Tooth disease type 1C,a0ht000000AYe3nAAD,HGNC:16841,ORPHA:101083,,LITAF,Disease-causing germline mutation(s) in,Assessed,
631,1020,GARD:0000632,Familial Alzheimer disease,,HGNC:9509,ORPHA:1020,,PSEN2,Disease-causing germline mutation(s) in,Assessed,
647,388,GARD:0006660,Hirschsprung disease,a0ht000000AYemuAAD,HGNC:10726,ORPHA:388,,SEMA3D,Major susceptibility factor in,Assessed,
1686,1519,GARD:0000957,Brachycephalofrontonasal dysplasia,a0ht000000AYdzqAAD,HGNC:29022,ORPHA:1519,,SPECC1L,Disease-causing germline mutation(s) in,Assessed,
3297,6,GARD:0005665,3-methylcrotonyl-CoA carboxylase deficiency,a0ht000000AYf0gAAD,HGNC:6936,ORPHA:6,,MCCC1,Disease-causing germline mutation(s) in,Assessed,
2433,2662,GARD:0000267,Nasodigitoacoustic syndrome,a0ht000000AYdrQAAT,HGNC:4452,ORPHA:2662,,GPC4,Disease-causing germline mutation(s) in,Assessed,
3243,65,GARD:0000634,Leber congenital amaurosis,,HGNC:19977,ORPHA:65,,RDH12,Disease-causing germline mutation(s) (loss of function) in,Assessed,
14422,99849,GARD:0002125,Glycogen storage disease type 13,a0ht000000AYeAYAA1,HGNC:3354,ORPHA:99849,,ENO3,Disease-causing germline mutation(s) in,Assessed,
10750,54260,GARD:0010985,Left ventricular noncompaction,a0ht000000AYfYjAAL,HGNC:14000,ORPHA:54260,,PRDM16,Disease-causing germline mutation(s) in,Assessed,
236,774,GARD:0009902,Hereditary hemorrhagic telangiectasia type 3,a0ht000000AYemTAAT,HGNC:4217,ORPHA:774,,GDF2,Disease-causing germline mutation(s) in,Assessed,
19809,255210,GARD:0003671,Mitochondrial DNA-associated Leigh syndrome,a0ht000000AYgdUAAT,HGNC:7414,ORPHA:255210,,MT-ATP6,Disease-causing germline mutation(s) in,Assessed,
22709,397941,GARD:0012417,MAN1B1-CDG,a0ht000000AYfcxAAD,HGNC:6823,ORPHA:397941,,MAN1B1,Disease-causing germline mutation(s) in,Assessed,
889,1934,GARD:0009255,Early Infantile Epileptic Encephalopathy,a0ht000000AYf9YAAT,HGNC:14135,ORPHA:1934,,PIGQ,Disease-causing germline mutation(s) (loss of function) in,Assessed,
10423,36386,GARD:0006635,Hereditary sensory neuropathy type 1,a0ht000000AYemeAAD,HGNC:11278,ORPHA:36386,,SPTLC2,Disease-causing germline mutation(s) in,Assessed,
12567,94147,GARD:0004955,Spinocerebellar ataxia 7,a0ht000000AYeXlAAL,HGNC:10560,ORPHA:94147,,ATXN7,Disease-causing germline mutation(s) in,Assessed,
12138,91387,GARD:0002249,Familial thoracic aortic aneurysm and aortic dissection,a0ht000000AYeBlAAL,HGNC:9414,ORPHA:91387,,PRKG1,Disease-causing germline mutation(s) (gain of function) in,Assessed,
11631,85164,GARD:0010012,"Camptodactyly, tall stature, and hearing loss syndrome",a0ht000000AYfKpAAL,HGNC:3690,ORPHA:85164,,FGFR3,Disease-causing germline mutation(s) (loss of function) in,Assessed,
703,117,GARD:0000848,Beh̤et disease,a0ht000000AYdwHAAT,HGNC:5962,ORPHA:117,,IL10,Major susceptibility factor in,Assessed,
506,2140,GARD:0001481,Congenital diaphragmatic hernia,,HGNC:9479,ORPHA:2140,,LONP1,Major susceptibility factor in,Assessed,
3297,6,GARD:0005665,3-methylcrotonyl-CoA carboxylase deficiency,a0ht000000AYf0hAAD,HGNC:6937,ORPHA:6,,MCCC2,Disease-causing germline mutation(s) in,Assessed,
21389,309796,GARD:0009429,Rhizomelic chondrodysplasia punctata type 2,a0ht000000AYf58AAD,HGNC:4416,ORPHA:309796,,GNPAT,Disease-causing germline mutation(s) in,Assessed,
2532,2783,GARD:0004151,Osteopetrosis autosomal dominant type 1,a0ht000000AYeGCAA1,HGNC:6697,ORPHA:2783,,LRP5,Disease-causing germline mutation(s) (gain of function) in,Assessed,
10750,54260,GARD:0010985,Left ventricular noncompaction,a0ht000000AYfTKAA1,HGNC:11949,ORPHA:54260,,TNNT2,Disease-causing germline mutation(s) in,Assessed,
3525,3286,GARD:0004421,Catecholaminergic polymorphic ventricular tachycardia,a0ht000000AYeSDAA1,HGNC:10484,ORPHA:3286,,RYR2,Disease-causing germline mutation(s) in,Assessed,
1044,242,GARD:0005068,Swyer syndrome,a0ht000000AYeYPAA1,HGNC:11204,ORPHA:242,,SOX9,Disease-causing germline mutation(s) in,Assessed,
2589,2855,GARD:0002542,Perrault syndrome,a0ht000000AYeDvAAL,HGNC:3424,ORPHA:2855,,ERAL1,Disease-causing germline mutation(s) in,Assessed,
18684,210122,GARD:0008644,Alveolar capillary dysplasia,a0ht000000AYf4IAAT,HGNC:3809,ORPHA:210122,,FOXF1,Disease-causing germline mutation(s) in,Assessed,
3297,6,GARD:0010954,3-methylcrotonyl-CoA carboxylase deficiency,,HGNC:6937,ORPHA:6,,MCCC2,Disease-causing germline mutation(s) in,Assessed,
11851,88919,GARD:0000625,Autosomal recessive Alport syndrome,a0ht000000AYdxUAAT,HGNC:2206,ORPHA:88919,,COL4A4,Disease-causing germline mutation(s) in,Assessed,
2375,575,GARD:0008472,Muckle-Wells syndrome,a0ht000000AYf0zAAD,HGNC:16400,ORPHA:575,,NLRP3,Disease-causing germline mutation(s) in,Assessed,
12860,97234,GARD:0009964,Phosphoglycerate mutase deficiency,a0ht000000AYfJmAAL,HGNC:8889,ORPHA:97234,,PGAM2,Disease-causing germline mutation(s) in,Assessed,
889,1934,GARD:0009255,Early Infantile Epileptic Encephalopathy,a0ht000000AYf9UAAT,HGNC:18060,ORPHA:1934,,ARX,Disease-causing germline mutation(s) in,Assessed,
408,963,GARD:0005725,Acromegaly,,HGNC:358,ORPHA:963,,AIP,Major susceptibility factor in,Assessed,
631,1020,GARD:0000632,Familial Alzheimer disease,,HGNC:18001,ORPHA:1020,,TOMM40,Biomarker tested in,Not yet assessed,
10740,53698,GARD:0007148,Myosin storage myopathy,a0ht000000AYergAAD,HGNC:7577,ORPHA:53698,,MYH7,Disease-causing germline mutation(s) in,Assessed,
12254,93317,GARD:0004993,Spondylometaphyseal dysplasia Sedaghatian type,a0ht000000AYeIJAA1,HGNC:4556,ORPHA:93317,,GPX4,Disease-causing germline mutation(s) in,Assessed,
13776,98759,GARD:0010469,Spinocerebellar ataxia 17,a0ht000000AYfRWAA1,HGNC:11588,ORPHA:98759,,TBP,Disease-causing germline mutation(s) in,Assessed,
18,369,GARD:0006529,Glycogen storage disease type 6,a0ht000000AYeRfAAL,HGNC:9725,ORPHA:369,,PYGL,Disease-causing germline mutation(s) in,Assessed,
631,1020,GARD:0012798,"Early-onset, autosomal dominant Alzheimer disease",,HGNC:17761,ORPHA:1020,,TREM2,Candidate gene tested in,Not yet assessed,
12675,95720,GARD:0008426,Thyroid dysgenesis,,HGNC:8622,ORPHA:95720,,PAX8,Disease-causing germline mutation(s) (loss of function) in,Assessed,
10750,54260,GARD:0010985,Left ventricular noncompaction,a0ht000000AYfYlAAL,HGNC:30577,ORPHA:54260,,MIB2,Major susceptibility factor in,Assessed,
18907,220407,GARD:0009749,Limited systemic sclerosis,a0ht000000AYf7YAAT,HGNC:4948,ORPHA:220407,,HLA-DRB1,Major susceptibility factor in,Not yet assessed,
63,550,GARD:0007009,Mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes,a0ht000000AYeqbAAD,HGNC:7422,ORPHA:550,,MT-CO3,Candidate gene tested in,Not yet assessed,
19809,255210,GARD:0003671,Mitochondrial DNA-associated Leigh syndrome,a0ht000000AYgdXAAT,HGNC:7458,ORPHA:255210,,MT-ND3,Disease-causing germline mutation(s) in,Assessed,
506,2140,GARD:0001481,Congenital diaphragmatic hernia,a0ht000000AYdwuAAD,HGNC:16700,ORPHA:2140,,ZFPM2,Major susceptibility factor in,Assessed,
14005,98988,GARD:0001140,Early-onset anterior polar cataract,a0ht000000AYdnqAAD,HGNC:2400,ORPHA:98988,,CRYBB3,Disease-causing germline mutation(s) in,Assessed,
19690,251899,GARD:0008238,Choroid plexus carcinoma,a0ht000000AYeF9AAL,HGNC:11998,ORPHA:251899,,TP53,Disease-causing germline mutation(s) in,Assessed,
11137,79095,GARD:0010046,"Bile acid synthesis defect, congenital, 4",a0ht000000AYfHkAAL,HGNC:451,ORPHA:79095,,AMACR,Disease-causing germline mutation(s) in,Assessed,
3243,65,GARD:0000634,Leber congenital amaurosis,,HGNC:2343,ORPHA:65,,CRB1,Disease-causing germline mutation(s) in,Assessed,
17232,158668,GARD:0009705,Ectodermal dysplasia skin fragility syndrome,a0ht000000AYf3NAAT,HGNC:9023,ORPHA:158668,,PKP1,Disease-causing germline mutation(s) (loss of function) in,Assessed,
2570,2833,GARD:0005025,Stiff skin syndrome,a0ht000000AYe4AAAT,HGNC:3603,ORPHA:2833,,FBN1,Disease-causing germline mutation(s) in,Assessed,
17909,171439,GARD:0007171,Childhood-onset nemaline myopathy,a0ht000000AYes2AAD,HGNC:37227,ORPHA:171439,,KBTBD13,Disease-causing germline mutation(s) in,Assessed,
236,774,GARD:0009901,Hereditary hemorrhagic telangiectasia type 2,a0ht000000AYemSAAT,HGNC:3349,ORPHA:774,,ENG,Disease-causing germline mutation(s) in,Assessed,
8675,143,GARD:0007329,Parathyroid carcinoma,a0ht000000AYeWSAA1,HGNC:16783,ORPHA:143,,CDC73,Disease-causing somatic mutation(s) in,Assessed,
912,373,GARD:0007649,Simpson-Golabi-Behmel syndrome,a0ht000000AYeobAAD,HGNC:4452,ORPHA:373,,GPC4,Candidate gene tested in,Not yet assessed,
2387,2590,GARD:0003044,Spinal muscular atrophy-progressive myoclonic epilepsy syndrome,,HGNC:735,ORPHA:2590,,ASAH1,Disease-causing germline mutation(s) in,Assessed,
8559,520,GARD:0000538,Acute promyelocytic leukemia,a0ht000000AYdw8AAD,HGNC:7910,ORPHA:520,,NPM1,Part of a fusion gene in,Assessed,
20480,280598,GARD:0011010,Hereditary sensorimotor neuropathy with hyperelastic skin,a0ht000000AYfZAAA1,HGNC:3602,ORPHA:280598,,FBLN5,Disease-causing germline mutation(s) in,Assessed,
10453,39044,GARD:0008621,Intraocular melanoma,a0ht000000AYf46AAD,HGNC:4379,ORPHA:39044,,GNA11,Disease-causing somatic mutation(s) in,Assessed,
703,117,GARD:0000848,Beh̤et disease,,HGNC:5439,ORPHA:117,,IFNGR1,Major susceptibility factor in,Assessed,
12557,94088,GARD:0009496,Renal hypouricemia,a0ht000000AYfCCAA1,HGNC:17989,ORPHA:94088,,SLC22A12,Disease-causing germline mutation(s) (loss of function) in,Assessed,
22774,399805,GARD:0008530,Spermatogenesis arrest,,HGNC:28852,ORPHA:399805,,SYCE1,Disease-causing germline mutation(s) in,Assessed,
236,774,GARD:0010615,Hereditary hemorrhagic telangiectasia type 4,a0ht000000AYemRAAT,HGNC:6770,ORPHA:774,,SMAD4,Disease-causing germline mutation(s) in,Assessed,
11074,75374,GARD:0012299,Bradyopsia,a0ht000000AYfbgAAD,HGNC:30304,ORPHA:75374,,RGS9BP,Disease-causing germline mutation(s) in,Assessed,
631,1020,GARD:0000632,Familial Alzheimer disease,a0ht000000AYfHxAAL,HGNC:37,ORPHA:1020,,ABCA7,Candidate gene tested in,Not yet assessed,
631,1020,GARD:0000632,Familial Alzheimer disease,a0ht000000AYfg2AAD,HGNC:11185,ORPHA:1020,,SORL1,Disease-causing germline mutation(s) in,Assessed,
14705,100994,GARD:0009616,Spastic paraplegia 13,a0ht000000AYfDoAAL,HGNC:5261,ORPHA:100994,,HSPD1,Disease-causing germline mutation(s) in,Assessed,
8559,520,GARD:0000538,Acute promyelocytic leukemia,a0ht000000AYdw6AAD,HGNC:11367,ORPHA:520,,STAT5B,Part of a fusion gene in,Assessed,
19072,228140,GARD:0004227,Paroxysmal ventricular fibrillation,a0ht000000AYeIFAA1,HGNC:3010,ORPHA:228140,,DPP6,Disease-causing germline mutation(s) in,Assessed,
959,897,GARD:0005524,Waardenburg syndrome type 4,a0ht000000AYeaiAAD,HGNC:7105,ORPHA:897,,MITF,Disease-causing germline mutation(s) in,Assessed,
16702,137667,GARD:0011904,Capillary malformation-arteriovenous malformation syndrome,,HGNC:9871,ORPHA:137667,,RASA1,Disease-causing germline mutation(s) in,Assessed,
10750,54260,GARD:0010985,Left ventricular noncompaction,a0ht000000AYfTJAA1,HGNC:29131,ORPHA:54260,,PLEKHM2,Major susceptibility factor in,Assessed,
8715,119,GARD:0003851,Limb-girdle muscular dystrophy type 2E,a0ht000000AYeO4AAL,HGNC:10806,ORPHA:119,,SGCB,Disease-causing germline mutation(s) in,Assessed,
14011,98994,GARD:0001159,"Cataract, total congenital",a0ht000000AYe2lAAD,HGNC:3386,ORPHA:98994,,EPHA2,Disease-causing germline mutation(s) in,Assessed,
22482,370103,GARD:0010536,"Primary dystonia, DYT17 type",,HGNC:35416,ORPHA:370103,,DYT17,Disease-causing germline mutation(s) in,Assessed,
889,1934,GARD:0009255,Early Infantile Epileptic Encephalopathy,a0ht000000AYf9dAAD,HGNC:15579,ORPHA:1934,,TRIM8,Disease-causing germline mutation(s) in,Assessed,
1502,127,GARD:0000936,Borjeson-Forssman-Lehmann syndrome,a0ht000000AYdzvAAD,HGNC:18145,ORPHA:127,,PHF6,Disease-causing germline mutation(s) (loss of function) in,Assessed,
1962,2036,GARD:0000159,Scalp ear nipple syndrome,a0ht000000AYdpiAAD,HGNC:18249,ORPHA:2036,,KCTD1,Disease-causing germline mutation(s) (loss of function) in,Assessed,
13906,98889,GARD:0006011,Bilateral perisylvian polymicrogyria,a0ht000000AYeZ0AAL,HGNC:30668,ORPHA:98889,,SRPX2,Candidate gene tested in,Not yet assessed,
12009,90322,GARD:0001420,Cockayne syndrome type II,a0ht000000AYe5CAAT,HGNC:3433,ORPHA:90322,,ERCC1,Disease-causing germline mutation(s) in,Assessed,
10442,37553,GARD:0009453,Andersen-Tawil syndrome,,HGNC:6266,ORPHA:37553,,KCNJ5,Disease-causing germline mutation(s) in,Assessed,
19809,255210,GARD:0003671,Mitochondrial DNA-associated Leigh syndrome,a0ht000000AYeMfAAL,HGNC:7489,ORPHA:255210,,MT-TK,Disease-causing germline mutation(s) in,Assessed,
11341,79315,GARD:0005661,D-2-hydroxyglutaric aciduria,a0ht000000AYec9AAD,HGNC:28358,ORPHA:79315,,D2HGDH,Disease-causing germline mutation(s) in,Assessed,
170,276,GARD:0005618,X-linked severe combined immunodeficiency,a0ht000000AYebJAAT,HGNC:6010,ORPHA:276,,IL2RG,Disease-causing germline mutation(s) in,Assessed,
1044,242,GARD:0005068,Swyer syndrome,a0ht000000AYeYSAA1,HGNC:7960,ORPHA:242,,NR0B1,Role in the phenotype of,Assessed,
912,373,GARD:0007649,Simpson-Golabi-Behmel syndrome,a0ht000000AYeoaAAD,HGNC:4451,ORPHA:373,,GPC3,Disease-causing germline mutation(s) (loss of function) in,Assessed,
493,2020,GARD:0006161,Congenital fiber type disproportion,a0ht000000AYeimAAD,HGNC:12011,ORPHA:2020,,TPM2,Disease-causing germline mutation(s) in,Assessed,
12880,97286,GARD:0010643,Paraganglioma and gastric stromal sarcoma,a0ht000000AYfTXAA1,HGNC:10681,ORPHA:97286,,SDHB,Disease-causing germline mutation(s) (loss of function) in,Assessed,
12138,91387,GARD:0002249,Familial thoracic aortic aneurysm and aortic dissection,a0ht000000AYeBoAAL,HGNC:6770,ORPHA:91387,,SMAD4,Disease-causing germline mutation(s) in,Assessed,
605,909,GARD:0005622,Cerebrotendinous xanthomatosis,a0ht000000AYebYAAT,HGNC:2605,ORPHA:909,,CYP27A1,Disease-causing germline mutation(s) in,Assessed,
12875,97279,GARD:0003010,Insulinoma,a0ht000000AYe3CAAT,HGNC:7010,ORPHA:97279,,MEN1,Major susceptibility factor in,Assessed,
3482,747,GARD:0007499,Autoimmune pulmonary alveolar proteinosis,,HGNC:4948,ORPHA:747,,HLA-DRB1,Major susceptibility factor in,Assessed,
22774,399805,GARD:0008530,Spermatogenesis arrest,,HGNC:27845,ORPHA:399805,,SOHLH1,Major susceptibility factor in,Assessed,
12880,97286,GARD:0010643,Paraganglioma and gastric stromal sarcoma,a0ht000000AYfTZAA1,HGNC:10683,ORPHA:97286,,SDHD,Disease-causing germline mutation(s) (loss of function) in,Assessed,
3243,65,GARD:0000634,Leber congenital amaurosis,,HGNC:6052,ORPHA:65,,IMPDH1,Disease-causing germline mutation(s) in,Assessed,
631,1020,GARD:0000632,Familial Alzheimer disease,a0ht000000AYfg3AAD,HGNC:18001,ORPHA:1020,,TOMM40,Biomarker tested in,Not yet assessed,
13906,98889,GARD:0006011,Bilateral perisylvian polymicrogyria,a0ht000000AYeZ2AAL,HGNC:8983,ORPHA:98889,,PI4KA,Disease-causing germline mutation(s) in,Assessed,
236,774,GARD:0009901,Hereditary hemorrhagic telangiectasia type 2,,HGNC:3349,ORPHA:774,,ENG,Disease-causing germline mutation(s) in,Assessed,
1923,1980,GARD:0006406,Primary Familial Brain Calcification,,HGNC:14686,ORPHA:1980,,JAM2,Disease-causing germline mutation(s) (loss of function) in,Assessed,
1031,569,GARD:0002638,Familial or sporadic hemiplegic migraine,,HGNC:10585,ORPHA:569,,SCN1A,Disease-causing germline mutation(s) in,Assessed,
243,201,GARD:0006202,Cowden syndrome,a0ht000000AYej2AAD,HGNC:391,ORPHA:201,,AKT1,Disease-causing germline mutation(s) (gain of function) in,Assessed,
3247,321,GARD:0007035,Hereditary multiple osteochondromas,,HGNC:3512,ORPHA:321,,EXT1,Disease-causing germline mutation(s) in,Assessed,
11677,85287,GARD:0009704,"X-linked intellectual disability, Siderius type",a0ht000000AYfFHAA1,HGNC:20672,ORPHA:85287,,PHF8,Disease-causing germline mutation(s) in,Assessed,
8726,588,GARD:0000156,Muscle eye brain disease,a0ht000000AYdpaAAD,HGNC:6511,ORPHA:588,,LARGE1,Candidate gene tested in,Not yet assessed,
16884,139396,GARD:0009412,X-linked cerebral adrenoleukodystrophy,,HGNC:61,ORPHA:139396,,ABCD1,Disease-causing germline mutation(s) in,Assessed,
10859,64755,GARD:0003856,Becker nevus syndrome,a0ht000000AYeO9AAL,HGNC:132,ORPHA:64755,,ACTB,Disease-causing somatic mutation(s) in,Assessed,
806,3287,GARD:0007730,Takayasu arteritis,a0ht000000AYevVAAT,HGNC:5970,ORPHA:3287,,IL12B,Major susceptibility factor in,Assessed,
519,2318,GARD:0009455,Joubert syndrome with oculorenal anomalies,,HGNC:29253,ORPHA:2318,,CC2D2A,Disease-causing germline mutation(s) in,Assessed,
12138,91387,GARD:0002249,Familial thoracic aortic aneurysm and aortic dissection,a0ht000000AYeBgAAL,HGNC:11773,ORPHA:91387,,TGFBR2,Disease-causing germline mutation(s) in,Assessed,
16896,139441,GARD:0010917,Hypomyelination with atrophy of basal ganglia and cerebellum,a0ht000000AYfXZAA1,HGNC:20597,ORPHA:139441,,UFM1,Disease-causing germline mutation(s) in,Assessed,
19539,247709,GARD:0010225,Multiple endocrine neoplasia type 2B,a0ht000000AYfK3AAL,HGNC:9967,ORPHA:247709,,RET,Disease-causing germline mutation(s) in,Assessed,
8726,588,GARD:0000156,Muscle eye brain disease,a0ht000000AYdpcAAD,HGNC:9202,ORPHA:588,,POMT1,Disease-causing germline mutation(s) in,Assessed,
1738,1606,GARD:0006082,Chromosome 1p36 deletion syndrome,,HGNC:14985,ORPHA:1606,,LUZP1,Role in the phenotype of,Assessed,
243,201,GARD:0006202,Cowden syndrome,a0ht000000AYej0AAD,HGNC:10682,ORPHA:201,,SDHC,Disease-causing germline mutation(s) in,Assessed,
12592,95433,GARD:0009971,Spinocerebellar ataxia autosomal recessive 3,a0ht000000AYfJtAAL,HGNC:8859,ORPHA:95433,,PEX6,Disease-causing germline mutation(s) in,Assessed,
12432,93599,GARD:0002836,Primary hyperoxaluria type 2,a0ht000000AYdnkAAD,HGNC:4570,ORPHA:93599,,GRHPR,Disease-causing germline mutation(s) in,Assessed,
3297,6,GARD:0010954,3-methylcrotonyl-CoA carboxylase deficiency,a0ht000000AYf0gAAD,HGNC:6936,ORPHA:6,,MCCC1,Disease-causing germline mutation(s) in,Assessed,
10453,39044,GARD:0008621,Intraocular melanoma,,HGNC:950,ORPHA:39044,,BAP1,Disease-causing somatic mutation(s) in,Assessed,
3525,3286,GARD:0004421,Catecholaminergic polymorphic ventricular tachycardia,a0ht000000AYeSEAA1,HGNC:1442,ORPHA:3286,,CALM1,Disease-causing germline mutation(s) in,Assessed,
236,774,GARD:0009901,Hereditary hemorrhagic telangiectasia type 2,,HGNC:175,ORPHA:774,,ACVRL1,Disease-causing germline mutation(s) in,Assessed,
889,1934,GARD:0009255,Early Infantile Epileptic Encephalopathy,a0ht000000AYf9WAAT,HGNC:9154,ORPHA:1934,,PNKP,Disease-causing germline mutation(s) in,Assessed,
11716,85442,GARD:0010604,"Pituitary hormone deficiency, combined 4",a0ht000000AYf61AAD,HGNC:21734,ORPHA:85442,,LHX4,Disease-causing germline mutation(s) in,Assessed,
647,388,GARD:0006660,Hirschsprung disease,a0ht000000AYemrAAD,HGNC:4232,ORPHA:388,,GDNF,Major susceptibility factor in,Assessed,
10859,64755,GARD:0005901,Becker's nevus,a0ht000000AYeO9AAL,HGNC:132,ORPHA:64755,,ACTB,Disease-causing somatic mutation(s) in,Assessed,
493,2020,GARD:0006161,Congenital fiber type disproportion,a0ht000000AYeikAAD,HGNC:129,ORPHA:2020,,ACTA1,Disease-causing germline mutation(s) in,Assessed,
19809,255210,GARD:0003671,Mitochondrial DNA-associated Leigh syndrome,a0ht000000AYgdcAAD,HGNC:7489,ORPHA:255210,,MT-TK,Disease-causing germline mutation(s) in,Assessed,
